url,title,h1,meta_description,canonical,image_count,page_json,page_type
https://oakfarm.vn/project/indochine-villa/,Indochine Villa - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project/indochine-villa/,16,/Users/bephi/data/oakfarm_full_output/pages/project__indochine-villa.json,projects
https://oakfarm.vn/project/haos-homestay/,Hao's Homestay - Oak Farm,Giới thiệu về chúng tôi,"Mô hình farm nghỉ dưỡng cho gia đình, với các hạng mục cơ bản như vườn rau, ao cá, bungalow đơn giản. Hy vọng là sự tham khảo tốt cho các bạn.",https://oakfarm.vn/project/haos-homestay/,12,/Users/bephi/data/oakfarm_full_output/pages/project__haos-homestay.json,projects
https://oakfarm.vn/project/cam-ly-view-garder/,Cam Ly View Garder - Oak Farm,Giới thiệu về chúng tôi,Thiết kế quy hoạch phân lô với diện tích lớn và nhà mẫu cùng với các tiện ích đi kèm. Một dự án để tham khảo về quy mô nhỏ.,https://oakfarm.vn/project/cam-ly-view-garder/,14,/Users/bephi/data/oakfarm_full_output/pages/project__cam-ly-view-garder.json,projects
https://oakfarm.vn/project/holiday-village/,Holiday Village - Oak Farm,Giới thiệu về chúng tôi,"Dự án phát triển theo hướng quy hoạch phân lô cảnh quan diện tích lớn, kết hợp là các sản phẩm bổ trợ cho dự như khu vui chơi, camping...",https://oakfarm.vn/project/holiday-village/,13,/Users/bephi/data/oakfarm_full_output/pages/project__holiday-village.json,projects
https://oakfarm.vn/project/family-village/,Family Village - Oak Farm,Giới thiệu về chúng tôi,"Dự án theo hướng quy hoạch phân lô cảnh quan diện tích lớn, kết hợp theo đó là các sản phẩm bổ trợ cho dự như khu vui chơi, camping...",https://oakfarm.vn/project/family-village/,15,/Users/bephi/data/oakfarm_full_output/pages/project__family-village.json,projects
https://oakfarm.vn/project/tructhuyvien/,Trúc Thụy Viên - Oak Farm,Giới thiệu về chúng tôi,"Một dự án đặc biệt tại Chư Sê - Gia Lai với chủ đề mang âm hưởng ""Thiền định - Chữa lành"" với nhiều hạng mục đa dạng và hấp dẫn.",https://oakfarm.vn/project/tructhuyvien/,18,/Users/bephi/data/oakfarm_full_output/pages/project__tructhuyvien.json,projects
https://oakfarm.vn/project/rajamaha-country-club/,Rajamaha Country Club - Oak Farm,Giới thiệu về chúng tôi,"Một dự án với quy mô vừa phải, các hạng mục như nhà đón, nhà spa và các căn bungalow được thiết kế theo kiến trúc đặc trưng của Thái Lan.",https://oakfarm.vn/project/rajamaha-country-club/,18,/Users/bephi/data/oakfarm_full_output/pages/project__rajamaha-country-club.json,projects
https://oakfarm.vn/project/ho-hon-co/,Hồ Hòn Cỏ - Oak Farm,Giới thiệu về chúng tôi,Phương án thiết kế ý tưởng cho dự án tuyệt đẹp tại Hồ Hòn Cỏ (An Khê - Gia Lai),https://oakfarm.vn/project/ho-hon-co/,10,/Users/bephi/data/oakfarm_full_output/pages/project__ho-hon-co.json,projects
https://oakfarm.vn/project/taste-of-issan-farm/,Taste of Issan Farm - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project/taste-of-issan-farm/,17,/Users/bephi/data/oakfarm_full_output/pages/project__taste-of-issan-farm.json,projects
https://oakfarm.vn/project/farmstay-nha-minh/,Farmstay Nhà Mình - Oak Farm,Giới thiệu về chúng tôi,"Một thiết kế điển hình về Farmstay tại Lâm Đồng. Với độ dốc lớn, các bungalow được sắp xếp trên đồi cao tạo view nhìn cực chill",https://oakfarm.vn/project/farmstay-nha-minh/,13,/Users/bephi/data/oakfarm_full_output/pages/project__farmstay-nha-minh.json,projects
https://oakfarm.vn/project/palm-hotel/,Palm Hotel - Oak Farm,Giới thiệu về chúng tôi,Oak Farm xin giới thiệu dự án thiết kế trọn gói tổ hợp khách sạn Palm Hotel theo phong cách Địa Trung Hải tại Bà Rịa - Vũng Tàu,https://oakfarm.vn/project/palm-hotel/,19,/Users/bephi/data/oakfarm_full_output/pages/project__palm-hotel.json,projects
https://oakfarm.vn/project/hali-green/,Hali Green - Oak Farm,Giới thiệu về chúng tôi,"Oak Farm nhận đề bài từ chủ đầu tư với mong muốn tạo nên một Farm với chủ đề ""chữa lành"" kết hợp trồng thảo dược là trọng tâm của dự án.",https://oakfarm.vn/project/hali-green/,14,/Users/bephi/data/oakfarm_full_output/pages/project__hali-green.json,projects
https://oakfarm.vn/project/pleiku-farm/,Pleiku Farm - Oak Farm,Giới thiệu về chúng tôi,"Oak Farm nhận đề bài từ chủ đầu tư với mong muốn tạo nên một Farm với chủ đề ""Bản sắc Tây Nguyên"" với nhiều hạng mục đa dạng",https://oakfarm.vn/project/pleiku-farm/,9,/Users/bephi/data/oakfarm_full_output/pages/project__pleiku-farm.json,projects
https://oakfarm.vn/project/ta-nung-homestay/,Ta Nung Homestay - Oak Farm,Giới thiệu về chúng tôi,"Homestay được thiết kế dựa theo địa hình hiện trạng. Yêu cầu hạn chế chi phí cải tạo hạ tầng nhưng đảm bảo được về cảnh quan, view nhìn",https://oakfarm.vn/project/ta-nung-homestay/,9,/Users/bephi/data/oakfarm_full_output/pages/project__ta-nung-homestay.json,projects
